,"Daftar Kapal Milik Dinas Perhubungan Provinsi DKI Jakarta
",,,,,,,,,,
,No,"Nama
Kapal","SKPD/
UKPD",Jenis dan Tipe*,Material,Tahun Pembuatan,"Ukuran 
(PxLxD (meter))","Tonase Kotor 
(GT)","Tenaga Penggerak 
(kW)",Daerah Pelayaran*,List Sertifikat Kapal*
,1,KM Batara  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,2,KM Samudra Biru  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,3,KM Sangaji  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,4,KM Chabing Nusantara  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,5,KM Dewandra  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,6,KM Indra Kemala  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,7,KM Paus Satu  ,UPAP,Kapal Penumpang,Fiberglass,2013,"20m x 4,5m x 0,65m",30,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,8,KM Paus Dua,UPAP,Kapal Penumpang,Fiberglass,2024,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,9,KM Paus Tiga,UPAP,Kapal Penumpang,Fiberglass,2024,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,10,KM Paus Empat,UPAP,Kapal Penumpang,Fiberglass,2025,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,11,KM Paus Lima,UPAP,Kapal Penumpang,Fiberglass,2025,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,12,KM Paus Enam,UPAP,Kapal Penumpang,Fiberglass,2025,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,13,KM Paus Tujuh,UPAP,Kapal Penumpang,Fiberglass,2025,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,14,KM Sonar 1  ,UPAP,Kapal Penumpang,Fiberglass,2021,"17,88m x 4m x 0,7m",35,Inboard 2 x 355HP ~ 529 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,15,KM Sonar 2  ,UPAP,Kapal Penumpang,Fiberglass,2021,"17,88m x 4m x 0,7m",35,Inboard 2 x 355HP ~ 529 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,16,KM Sonar 3,UPAP,Kapal Penumpang,Fiberglass,2021,"17,88m x 4m x 0,7m",35,Inboard 2 x 355HP ~ 529 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,17,KM Sonar 4  ,UPAP,Kapal Penumpang,Fiberglass,2021,"17,88m x 4m x 0,7m",35,Inboard 2 x 355HP ~ 529 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,18,KM Angkutan Sekolah 06   ,UPAP,Kapal Penumpang,Fiberglass,2016,"16,67m x 3,94m x 0,8m",29,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)",-
,19,KM Angkutan Sekolah 07,UPAP,Kapal Penumpang,Fiberglass,2016,"16,67m x 3,94m x 0,8m",29,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)",-
,20,KM Angkutan Sekolah 08,UPAP,Kapal Penumpang,Fiberglass,2016,"16,67m x 3,94m x 0,8m",29,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)",-
,21,KM Catamaran II ,UPAP, Kapal Kerja,Fiberglass,2013,"17m x 4m x 0,6m",29,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur"
,22,KM Catamaran III,UPAP, Kapal Kerja,Fiberglass,2013,"17m x 4m x 0,6m",29,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur"
,23,KM Patroli Hiu 5,UPAP,Kapal Patroli,Fiberglass,2012,"15m x 3,5m x 0,6m",20,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)",-
,24,KM Banawa  Nusantara 24  ,UPAP, Kapal Kerja,Fiberglass,2017,"17,65m x 4m x 1,02m",35,Inboard 2 x 225HP ~ 335 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,25,KM Banawa  Nusantara 74  ,UPAP, Kapal Kerja,Fiberglass,2017,"17,65m x 4m x 1,02m",35,Inboard 2 x 225HP ~ 335 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur"
,26,KM Kerapu I  ,UPAP,Kapal Penumpang,Fiberglass,2005,"10m x 3m x 0,60m",6,Outboard 2 x 200HP ~ 298 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Kecil
2. Sertifikat Kesempurnaan"
,27,KM Kerapu II  ,UPAP,Kapal Penumpang,Fiberglass,2005,"10m x 3m x 0,60m",6,Outboard 2 x 200HP ~ 298 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Kecil
2. Sertifikat Kesempurnaan"
,28,KM Kerapu III  ,UPAP,Kapal Penumpang,Fiberglass,2005,"10m x 3m x 0,60m",6,Outboard 2 x 200HP ~ 298 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Kecil
2. Sertifikat Kesempurnaan"
,29,KM Kerapu IV  ,UPAP,Kapal Penumpang,Fiberglass,2005,"10m x 3m x 0,60m",6,Outboard 2 x 200HP ~ 298 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Kecil
2. Sertifikat Kesempurnaan"
,30,KM Kerapu V  ,UPAP,Kapal Penumpang,Fiberglass,2005,"10m x 3m x 0,60m",6,Outboard 2 x 200HP ~ 298 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Kecil
2. Sertifikat Kesempurnaan"
,31,KM Kerapu VI  ,UPAP,Kapal Penumpang,Fiberglass,2005,"10m x 3m x 0,60m",6,Outboard 2 x 200HP ~ 298 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Kecil
2. Sertifikat Kesempurnaan"
,32,Kapal Patroli HIU I,UPPD,Kapal Patroli,Fiberglass,2003,"Panjang = 15.00 M
Lebar = 3.32 M
Tinggi = 1.38 M
Sarat Air = 0.60 M",15,Outboard 4 x 250HP ~ 671 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)",
,33,Kapal Patroli IV,UPPD,Kapal Patroli,Fiberglass,2003,"Panjang = 6.50 M
Lebar = 2.30 M",4,Outboard 2 x 100HP ~ 149 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)",
,34,Kapal Kerja 02,UPPD,Kapal Kerja,Fiberglass,2013,"Panjang = 8.20 M
Lebar = 2.50 M
Tinggi = 1.10 M",6,Outboard 2 x 150HP ~ 223 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)",
,35,Kapal Kerja 03,UPPD,Kapal Kerja,Fiberglass,2014,"Panjang = 8.10 M
Lebar = 2.50 M
Tinggi = 1.05 M",6,Outboard 2 x 150HP ~ 223 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)",
,36,Kapal Kerja,UPPD,Kapal Kerja,Fiberglass,,"Panjang = 6.00 M
Lebar = 2.20 M",4,Outboard 2 x 150HP ~ 223 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)",
,37,Kapal HIU III,BPP,Kapal Patroli,Fiberglass,2004,"Panjang = 12.00 M
Lebar = 3.32 M
Tinggi = 1.38 M
Sarat Air = 0.60 M",27,Inboard 2 x 265HP ~ 395 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)",
,38,Kapal HIU 7,BPP,Kapal Patroli,Alumunium,2021,"Panjang = 18.00 M
Lebar = 3.32 M
Tinggi = 1.38 M
Sarat Air = 0.60 M",35,Inboard 2 x 440HP ~ 656 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur"
,39,Kapal Kerja 01,Sudinhub P.1000,Kapal Kerja,Fiberglass,2003,"Panjang =  8.50 M
Lebar =  2.00 M
Sarat Air = 0.45 M",4,Outboard 2 x 100HP ~ 149 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. PAS Besar
2. Surat Ukur
"
,40,Kapal Patroli 09,Sudinhub P.1000,Kapal Patroli,Fiberglass,2016,"Panjang = 13.32 M
Lebar = 3.24 M
Tinggi = 1.35 M
Sarat Air = -",18,Outboard 4 x 250HP ~ 745 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. PAS Besar
2. Surat Ukur
"
,41,Kapal Patroli 11,Sudinhub P.1000,Kapal Patroli,Fiberglass,2023,"Panjang = 16.28 M
Lebar = 3.6 M
Tinggi = 1.6 M
Sarat Air = 0.60 M",24,Inboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. PAS besar;
2. Surat Ukur
3. AKTA pendaftaran kapal"
,,,,,,,,,,,
,*Note:,,,,,,,,,,
,"- Jenis dan Tipe Kapal :
a) Kapal Penumpang
b) Kapal Patroli
c)  Kapal Kerja (Rumah Sakit/ Sampah, dll)",,,,,,,,,,
,"- List Sertifikat Kapal :
a)  Surat Laut (Pas Kecil / Pas Besar) / Certificate of Nationality
b) Surat Ukur / Tonnage Certificate
c)  Sertifikat Keselamatan / Ship Safety Certificate
d) Dokumen Keselamatan Pengawakan Minimum / Minimum Safe Manning Document",,,,,,,,,,
,- Dearah Pelayaran:,,,,,,,,,,
,No.,Daerah Pelayaran,,Deskripsi,,,,,,,
,a),"Daerah pelayaran semua lautan 
(Un-Restricted Voyage/URV)",,Meliputi semua laut di dunia,,,,,,,
,b),Daerah pelyaran Kawasan Indonesia (Near Coastal Voyage/NCV),,"Meliputi daerah   yang dibatasi oleh garis-garis yang ditarik dari titik Lintang 10o00’00’’ Utara di Pantai Barat Malaysia, sepanjang Pantai Malaysia, Singapura, Thailand, Kamboja dan Vietnam Selatan di Tanjung Tiwan dan garis-garis yang ditarik antara Tanjung Tiwan  dengan Tanjung  Baturampon di Philipina, sepanjang  Pantai Selatan  Philipina sampai Tanjung San Augustin ke titik  lintang 00o00’00’’ dan Bujur 140o00’00’’ Timur, titik Lintang 02o35’00’’ Selatan dan Bujur 141o00’00’’ Timur, ditarik  ke Selatan hingga ke titik 09o10’00’’ Selatan dan bujur 141o00’00’’ Timur, ke titik Lintang 10o00’00’’ Selatan dan Bujur 140o00’00’’ Timur, ke titik Lintang 10o11’00’’ Selatan dan Bujur 121o00’00’’   Timur, ke titik Lintang  09o30’00’’ Selatan dan Bujur 105o00’00’’ Timur ke titik Lintang 02o00’00’’ Utara dan Bujur 094o00’00’’ Timur, ke titik Lintang 06o30’00’’ Utara dan Bujur 094o00’00’’ sampai dengan titik Lintang 10o00’00’’ Utara di Pantai Barat Malaysia.",,,,,,,
,c),"Daerah pelayaran lokal 
(Local Voyage)",,"Meliputi jarak dengan radius 500 mil laut dari suatu pelabuhan tertunjuk. Jarak ini diukur antara titik-titik terdekat batas-batas perairan pelabuhan sampai tempat labuh yang lazim. Jika pelabuhan tertunjuk dimaksud terletak pada sungai atau perairan wajib pandu, maka jarak itu diukur dari atau sampai pelampung terluar atau sampai muara sungai atau batas luar dari perairan wajib pandu.",,,,,,,
,d),"Daerah pelayaran terbatas 
(Limited Voyage)",,"Meliputi jarak dengan radius 100 mil laut dari suatu pelabuhan tertunjuk. Jarak ini diukur antara titik-titik terdekat batas-batas perairan pelabuhan sampai tempat labuh yang lazim. Jika pelabuhan tertunjuk dimaksud terletak pada sungai atau perairan wajib andu, maka jarak itu diukur dari atau sampai pelampung terluar atau sampai muara sungai atau batas luar dari perairan wajib pandu.",,,,,,,
,e),"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)",,Meliputi perairan di dalam daerah lingkungan kerja dan daerah lingkungan kepentingan Pelabuhan.,,,,,,,
,f),"Daerah pelayaran perairan daratan (Sungai, Kanal, dan Danau)",,"Meliputi daerah perairan sungai, danau, waduk dan kanal atau terusan.",,,,,,,